s1,s2,s3,s4,togpu,kernel,todevice
128,128,128,128,0.000119,0.000083,0.000144
511,1023,1023,4094,0.006865,0.007640,0.012282
512,1024,1024,4094,0.007117,0.007774,0.012647
1024,1024,1024,4094,0.009918,0.029526,0.021686
1024,2048,2048,2048,0.008470,0.054391,0.015192
2048,2048,2048,2048,0.015929,0.215508,0.027895
2048,4094,4094,2048,0.021852,0.280240,0.038777
